dataset_id,stimulus_novelty,stimulus_label,stimulus_image_path,lab_stimulus_id,stimulus_id
0,familiar,baby,baby1,baby1,0
0,familiar,car,car1,car1,1
0,familiar,ball,ball1,ball1,2
0,familiar,doggy,doggy2,doggy2,3
0,familiar,shoe,shoe2,shoe2,4
0,familiar,birdie,birdie1,birdie1,5
0,familiar,book,book2,book2,6
0,familiar,kitty,kitty2,kitty2,7
0,familiar,book,book3,book3,8
0,familiar,kitty,kitty3,kitty3,9
0,familiar,doggy,doggy3,doggy3,10
0,familiar,ball,ball3,ball3,11
0,familiar,birdie,birdie4,birdie4,12
0,familiar,baby,baby4,baby4,13
0,familiar,car,car4,car4,14
0,familiar,shoe,shoe4,shoe4,15
0,familiar,birdie,birdie2,birdie2,16
0,familiar,ball,ball2,ball2,17
0,familiar,car,car3,car3,18
0,familiar,shoe,shoe3,shoe3,19
0,familiar,baby,baby3,baby3,20
0,familiar,kitty,kitty1,kitty1,21
0,familiar,doggy,doggy1,doggy1,22
0,familiar,book,book1,book1,23
0,familiar,shoe,shoe1,shoe1,24
0,familiar,baby,baby2,baby2,25
0,familiar,car,car2,car2,26
0,familiar,birdie,birdie3,birdie3,27
0,familiar,kitty,kitty4,kitty4,28
0,familiar,doggy,doggy4,doggy4,29
0,familiar,book,book4,book4,30
0,familiar,ball,ball4,ball4,31
