lab_age,subject_id,administration_id,dataset_id,monitor_size_x,monitor_size_y,lab_age_units,age,tracker,sample_rate,coding_method,administration_aux_data
21,0,0,0,1920,1200,months,21,video_camera,30,manual gaze coding,NA
22,1,1,0,1920,1200,months,22,video_camera,30,manual gaze coding,NA
20,2,2,0,1920,1200,months,20,video_camera,30,manual gaze coding,NA
21,3,3,0,1920,1200,months,21,video_camera,30,manual gaze coding,NA
20,4,4,0,1920,1200,months,20,video_camera,30,manual gaze coding,NA
20,5,5,0,1920,1200,months,20,video_camera,30,manual gaze coding,NA
20,6,6,0,1920,1200,months,20,video_camera,30,manual gaze coding,NA
20,7,7,0,1920,1200,months,20,video_camera,30,manual gaze coding,NA
21,8,8,0,1920,1200,months,21,video_camera,30,manual gaze coding,NA
20,9,9,0,1920,1200,months,20,video_camera,30,manual gaze coding,NA
21,10,10,0,1920,1200,months,21,video_camera,30,manual gaze coding,NA
22,11,11,0,1920,1200,months,22,video_camera,30,manual gaze coding,NA
21,12,12,0,1920,1200,months,21,video_camera,30,manual gaze coding,NA
19,13,13,0,1920,1200,months,19,video_camera,30,manual gaze coding,NA
20,14,14,0,1920,1200,months,20,video_camera,30,manual gaze coding,NA
20,15,15,0,1920,1200,months,20,video_camera,30,manual gaze coding,NA
21,16,16,0,1920,1200,months,21,video_camera,30,manual gaze coding,NA
20,17,17,0,1920,1200,months,20,video_camera,30,manual gaze coding,NA
21,18,18,0,1920,1200,months,21,video_camera,30,manual gaze coding,NA
20,19,19,0,1920,1200,months,20,video_camera,30,manual gaze coding,NA
NA,20,20,0,1920,1200,months,NA,video_camera,30,manual gaze coding,NA
20,21,21,0,1920,1200,months,20,video_camera,30,manual gaze coding,NA
20,22,22,0,1920,1200,months,20,video_camera,30,manual gaze coding,NA
21,23,23,0,1920,1200,months,21,video_camera,30,manual gaze coding,NA
21,24,24,0,1920,1200,months,21,video_camera,30,manual gaze coding,NA
20,25,25,0,1920,1200,months,20,video_camera,30,manual gaze coding,NA
21,26,26,0,1920,1200,months,21,video_camera,30,manual gaze coding,NA
20,27,27,0,1920,1200,months,20,video_camera,30,manual gaze coding,NA
21,28,28,0,1920,1200,months,21,video_camera,30,manual gaze coding,NA
NA,29,29,0,1920,1200,months,NA,video_camera,30,manual gaze coding,NA
20,30,30,0,1920,1200,months,20,video_camera,30,manual gaze coding,NA
21,31,31,0,1920,1200,months,21,video_camera,30,manual gaze coding,NA
20,32,32,0,1920,1200,months,20,video_camera,30,manual gaze coding,NA
22,33,33,0,1920,1200,months,22,video_camera,30,manual gaze coding,NA
19,34,34,0,1920,1200,months,19,video_camera,30,manual gaze coding,NA
20,35,35,0,1920,1200,months,20,video_camera,30,manual gaze coding,NA
21,36,36,0,1920,1200,months,21,video_camera,30,manual gaze coding,NA
NA,37,37,0,1920,1200,months,NA,video_camera,30,manual gaze coding,NA
20,38,38,0,1920,1200,months,20,video_camera,30,manual gaze coding,NA
21,39,39,0,1920,1200,months,21,video_camera,30,manual gaze coding,NA
20,40,40,0,1920,1200,months,20,video_camera,30,manual gaze coding,NA
20,41,41,0,1920,1200,months,20,video_camera,30,manual gaze coding,NA
21,42,42,0,1920,1200,months,21,video_camera,30,manual gaze coding,NA
20,43,43,0,1920,1200,months,20,video_camera,30,manual gaze coding,NA
20,44,44,0,1920,1200,months,20,video_camera,30,manual gaze coding,NA
